path,size_bytes,size_human,reason,preview
/etc/alternatives/README,102,102 B,distribution reference data,Please read the update-alternatives(1) man page for information on this / directory and its contents.
/etc/apparmor.d/abstractions/X,1965,1.9 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/apache2-common,903,903 B,distribution reference data,# vim:syntax=apparmor /  / # This file contains basic permissions for Apache and every vHost
/etc/apparmor.d/abstractions/apparmor_api/change_profile,404,404 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/abstractions/apparmor_api/examine,488,488 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/abstractions/apparmor_api/find_mountpoint,516,516 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/abstractions/apparmor_api/introspect,487,487 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/abstractions/apparmor_api/is_enabled,642,642 B,distribution reference data,#    Copyright (C) 2012 Canonical Ltd. / # / #    This program is free software; you can redistribute it and/or
/etc/apparmor.d/abstractions/aspell,321,321 B,distribution reference data,# vim:syntax=apparmor / # aspell permissions /
/etc/apparmor.d/abstractions/audio,1842,1.8 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/authentication,1637,1.6 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/base,6519,6.4 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/bash,1556,1.5 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/consoles,821,821 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/cups-client,732,732 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dbus,609,609 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dbus-accessibility,646,646 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dbus-accessibility-strict,654,654 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dbus-session,655,655 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dbus-session-strict,948,948 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dbus-strict,696,696 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/dconf,254,254 B,distribution reference data,# vim:syntax=apparmor /  / # permissions for querying dconf settings; granting write access should
/etc/apparmor.d/abstractions/dovecot-common,591,591 B,distribution reference data,"# ------------------------------------------------------------------ / # / #    Copyright (C) 2014 Canonical, Ltd."
/etc/apparmor.d/abstractions/enchant,2063,2.0 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/fcitx,469,469 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/fcitx-strict,733,733 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/fonts,2038,2.0 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/freedesktop.org,2481,2.4 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/gnome,3487,3.4 KB,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/gnupg,367,367 B,distribution reference data,# vim:syntax=apparmor / # gnupg sub-process running permissions /
/etc/apparmor.d/abstractions/ibus,659,659 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/kde,2129,2.1 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/kerberosclient,1135,1.1 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/launchpad-integration,852,852 B,distribution reference data,# vim:syntax=apparmor / # launchpad-integration /
/etc/apparmor.d/abstractions/ldapclient,707,707 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2011 Novell/SUSE
/etc/apparmor.d/abstractions/libpam-systemd,678,678 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/likewise,502,502 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/lxc/container-base,8409,8.2 KB,distribution reference data,"network, /   capability, /   file,"
/etc/apparmor.d/abstractions/lxc/start-container,1566,1.5 KB,distribution reference data,"network, /   capability, /   file,"
/etc/apparmor.d/abstractions/mdns,449,449 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/mir,610,610 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/mozc,483,483 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/mysql,656,656 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/nameservice,3958,3.9 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/nis,539,539 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2006 Novell/SUSE
/etc/apparmor.d/abstractions/nvidia,542,542 B,distribution reference data,# vim:syntax=apparmor / # nvidia access requirements /
/etc/apparmor.d/abstractions/openssl,484,484 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2011 Novell/SUSE
/etc/apparmor.d/abstractions/orbit2,98,98 B,distribution reference data,# vim:syntax=apparmor / # orbit2 permissions /
/etc/apparmor.d/abstractions/p11-kit,926,926 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2012 Canonical Ltd.
/etc/apparmor.d/abstractions/perl,895,895 B,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2009 Novell/SUSE
/etc/apparmor.d/abstractions/php,1010,1010 B,distribution reference data,# vim:syntax=apparmor / # ------------------------------------------------------------------ / #
/etc/apparmor.d/abstractions/php5,108,108 B,distribution reference data,"#backwards compatibility include, actual abstraction moved from php5 to php /  / #include <abstractions/php>"
/etc/apparmor.d/abstractions/postfix-common,1141,1.1 KB,distribution reference data,# ------------------------------------------------------------------ / # / #    Copyright (C) 2002-2005 Novell/SUSE
/etc/apparmor.d/abstractions/private-files,1565,1.5 KB,distribution reference data,# vim:syntax=apparmor / # privacy-violations contains rules for common files that you want to / # explicitly deny access
/etc/apparmor.d/abstractions/private-files-strict,1030,1.0 KB,distribution reference data,# vim:syntax=apparmor / # privacy-violations-strict contains additional rules for sensitive / # files that you want to explicitly deny access
